deal_id;type;content
*       63;DEAL;963-9-Q8643-KQ62, 42-8642-JT97-943, AKT5-AKJ7-AK-AT8, QJ87-QT53-52-J75
*       63;DIRS;  North      East     South      West
*       63;BIDS;  passe     passe       2K      passe   
*       63;RULE;                        1               
*       63;BIDS;  passe     passe   
*       63;RULE;                    
*       64;DEAL;Q-632-Q765-AKJ54, KJ93-87-AK92-876, A6-A54-JT843-T93, T87542-KQJT9-Q2
*       64;DIRS;  North      East     South      West
*       64;BIDS;    1T      passe       1K        1P    
*       64;RULE;    17                  62       201    
*       64;BIDS;  passe     passe     passe   
*       64;RULE;                              
*       65;DEAL;AQ-AJT53-KQ543-2, K8-K964-JT97-K65, 97653-Q8-62-QT87, JT42-72-A8-AJ943
*       65;DIRS;  North      East     South      West
*       65;BIDS;    1C      passe     passe     passe   
*       65;RULE;    16                                  
*       66;DEAL;AJ986-KT97-Q-T98, K52-854-852-AK52, T43-A63-AKT74-Q6, Q7-QJ2-J963-J743
*       66;DIRS;  North      East     South      West
*       66;BIDS;  passe     passe       1K      passe   
*       66;RULE;                        17              
*       66;BIDS;    1P      passe       2K      passe   
*       66;RULE;    19                  39              
*       66;BIDS;  passe     passe   
*       66;RULE;                    
*       67;DEAL;J8-KJ963-KQ92-T6, Q9742-Q84-J43-QJ, KT3-T7-T75-K9754, A65-A52-A86-A832
*       67;DIRS;  North      East     South      West
*       67;BIDS;  passe     passe     passe      1SA    
*       67;RULE;                                  10    
*       67;BIDS;  passe      2SA      passe      4SA    
*       67;RULE;             275                 277    
*       67;BIDS;  passe     passe     passe   
*       67;RULE;                              
*       68;DEAL;K984-J4-93-QJT83, T5-A93-AJT542-92, 73-KQT75-KQ76-76, AQJ62-862-8-AK54
*       68;DIRS;  North      East     South      West
*       68;BIDS;  passe     passe       1C        1P    
*       68;RULE;                        19        16    
*       68;BIDS;  passe     passe     passe   
*       68;RULE;                              
*       69;DEAL;4-95-AT74-AJT984, A72-AK8642-Q86-7, QJ63-J7-K932-K63, KT985-QT3-J5-Q52
*       69;DIRS;  North      East     South      West
*       69;BIDS;  passe       1C      passe     passe   
*       69;RULE;              16                        
*       69;BIDS;  passe   
*       69;RULE;          
*       70;DEAL;7-KT-T94-AJ95432, 98654-74-K73-K76, KJT-A852-A865-Q8, AQ32-QJ963-QJ2-T
*       70;DIRS;  North      East     South      West
*       70;BIDS;    3T      passe     passe     passe   
*       70;RULE;    23                                  
*       71;DEAL;J3-A93-KJ763-Q52, AK6-J65-542-JT98, 752-Q742-AT98-73, QT984-KT8-Q-AK64
*       71;DIRS;  North      East     South      West
*       71;BIDS;  passe     passe     passe       1P    
*       71;RULE;                                  16    
*       71;BIDS;  passe     passe     passe   
*       71;RULE;                              
*       72;DEAL;K8-T96-QJT6-AQ95, AT6542-K4-74-432, J93-AQ32-852-K86, Q7-J875-AK93-JT7
*       72;DIRS;  North      East     South      West
